ID,First_name,Last_name,State,Gender,Age,GPA,Days_missed,Graduated
1,Wayne,Boyd,Florida,Male,19,,9,Yes
2,Ann,Matthews,Pennsylvania,Female,18,3,,Yes
3,George,Matthews,Texas,,17,,10,Yes
4,Jerry,Ramos,California,Male,15,2,28,No
5,Andrea,Carroll,North Carolina,Female,,2,29,No
6,Annie,Fisher,Virginia,Female,19,,5,Yes
7,Stephanie,Barnes,Oklahoma,Female,,3,20,No
8,Janet,Jenkins,Louisiana,Female,15,4,20,Yes
9,Betty,Miller,,,17,3,23,No
10,Henry,Woods,Colorado,Male,19,4,14,Yes
11,Stephanie,Harris,,Female,,,3,Yes
12,Samuel,George,Georgia,Male,15,3,13,No
13,Todd,Phillips,Indiana,,,2,3,Yes
14,Nicholas,Rice,Florida,Male,,2,8,No
15,Jacqueline,Wallace,New York,Female,,2,26,No
16,Phyllis,Burton,Texas,Female,16,3,18,No
17,Sandra,Hudson,,Female,,4,20,Yes
18,Karen,Bell,Mississippi,Female,17,3,10,No
19,Lori,Patterson,New York,Female,18,,17,Yes
20,Ann,Banks,Pennsylvania,Female,15,4,18,Yes
21,Sara,Williams,,Female,17,,24,Yes
22,Benjamin,Butler,Connecticut,Male,18,,4,Yes
23,Lori,Lopez,,Female,19,3,15,No
24,Ryan,Porter,New York,Male,15,2,10,No
25,Anthony,Burke,Texas,,16,2,14,No
26,Katherine,Rodriguez,Arizona,Female,16,4,3,Yes
27,Harry,Larson,,Male,18,3,15,No
28,Joyce,Patterson,Virginia,Female,18,4,22,Yes
29,Jonathan,Wells,Indiana,Male,19,,20,Yes
30,Jesse,Hamilton,New York,Male,19,2,27,No
31,Susan,Evans,South Dakota,Female,15,2,29,No
32,Kathleen,Lee,New Jersey,,17,3,13,No
33,Steven,Cooper,Arizona,Male,18,,20,Yes
34,Shawn,Fisher,Indiana,Male,,2,17,No
35,Arthur,Campbell,Texas,Male,,,32,Yes
36,Harold,Flores,New Mexico,Male,19,,,Yes
37,Bonnie,Parker,California,Female,19,2,29,No
38,Doris,Holmes,California,Female,15,4,20,Yes
39,Anna,Bradley,Virginia,Female,19,4,,Yes
40,Ruth,Lopez,Ohio,,16,4,,Yes
41,Wanda,Richards,Texas,Female,16,,7,Yes
42,Jimmy,Kelly,Louisiana,Male,,,10,Yes
43,Marilyn,Marshall,New York,Female,,,,Yes
44,Donna,Jackson,Ohio,Female,19,4,18,Yes
45,Judy,Boyd,Louisiana,Female,18,,33,Yes
46,Irene,Johnson,Utah,Female,18,2,9,No
47,Frank,Ortiz,Florida,,16,,8,Yes
48,Mark,Wheeler,California,,16,2,13,No
49,Aaron,Reed,Washington,,,2,21,No
50,Christina,Little,Ohio,Female,15,,21,Yes
51,Diana,Ross,Texas,Female,,2,,Yes
52,William,Cooper,New York,Male,18,2,,Yes
53,Joseph,Nichols,Virginia,Male,19,3,34,No
54,Stephen,Bailey,Connecticut,,19,4,16,Yes
55,Harold,Powell,Tennessee,Male,,,31,Yes
